year,building_count
1,44
2,1
6,1
8,1
13,1
14,1
19,3
39,1
42,1
47,1
180,1
185,1
192,1
200,1
202,1
203,1
211,1
231,1
868,1
999,2
1000,196
1001,4
1005,1278
1008,1
1009,8
1016,1
1038,1
1040,2
1049,1
1050,5
1062,1
1070,2
1073,2
1090,1
1100,18
1104,1
1111,3
1122,3
1123,1
1125,1
1130,1
1133,1
1134,1
1136,1
1143,2
1145,1
1150,13
1156,1
1157,1
1160,1
1162,2
1169,1
1175,1
1176,2
1178,1
1183,1
1188,1
1189,1
1192,1
1194,1
1200,59
1201,1
1210,5
1212,2
1220,3
1221,1
1225,9
1229,2
1230,4
1234,1
1236,1
1240,2
1241,1
1244,1
1245,1
1248,1
1250,96
1256,1
1260,5
1261,2
1262,1
1264,1
1265,1
1267,1
1270,3
1273,3
1275,15
1276,1
1277,3
1280,6
1281,1
1282,1
1284,2
1285,2
1286,1
1288,2
1289,2
1290,8
1292,1
1293,1
1294,1
1295,2
1297,3
1298,1
1299,1
1300,120
1302,2
1303,1
1305,1
1307,2
1310,3
1312,1
1315,1
1316,3
1319,2
1320,8
1324,1
1325,7
1326,7
1328,1
1329,1
1330,3
1332,1
1335,6
1336,2
1337,2
1338,2
1340,5
1342,1
1343,1
1344,4
1345,4
1347,7
1348,2
1350,102
1351,4
1355,3
1358,2
1359,1
1360,6
1361,1
1362,2
1363,2
1364,1
1365,2
1366,3
1367,3
1368,4
1369,3
1370,8
1375,9
1376,3
1378,1
1380,17
1381,4
1382,4
1383,4
1385,7
1386,2
1387,5
1388,2
1390,14
1391,5
1392,2
1394,5
1395,7
1396,19
1397,9
1398,5
1399,17
1400,217
1401,2
1402,9
1403,3
1404,1
1405,1
1406,3
1407,3
1408,3
1409,9
1410,8
1411,1
1412,1
1414,2
1415,6
1418,4
1419,1
1420,18
1421,1
1422,4
1423,4
1424,2
1425,13
1426,2
1427,2
1428,6
1429,3
1430,11
1431,3
1432,2
1433,4
1434,2
1435,3
1436,3
1437,10
1438,6
1440,17
1441,5
1442,2
1443,3
1444,4
1445,10
1446,4
1447,1
1448,3
1449,2
1450,1376
1451,6
1452,9
1454,12
1455,5
1456,3
1457,8
1458,5
1459,2
1460,11
1462,6
1463,12
1464,7
1465,9
1467,12
1468,5
1469,4
1470,8
1471,4
1472,6
1473,4
1474,2
1475,47
1476,2
1477,9
1478,16
1479,3
1480,32
1481,4
1482,10
1483,1
1484,5
1485,28
1486,2
1487,2
