province_name,year,building_count
Drenthe,1200,1
Drenthe,1260,1
Drenthe,1284,1
Drenthe,1300,3
Drenthe,1328,1
Drenthe,1345,1
Drenthe,1350,1
Drenthe,1400,2
Drenthe,1422,1
Drenthe,1423,1
Drenthe,1450,2
Drenthe,1456,1
Drenthe,1467,1
Drenthe,1477,1
Drenthe,1487,1
Drenthe,1502,1
Drenthe,1540,1
Drenthe,1550,1
Drenthe,1551,1
Drenthe,1600,6
Drenthe,1604,2
Drenthe,1607,1
Drenthe,1614,2
Drenthe,1620,1
Drenthe,1623,1
Drenthe,1624,1
Drenthe,1630,2
Drenthe,1632,1
Drenthe,1633,2
Drenthe,1638,2
Drenthe,1640,5
Drenthe,1641,3
Drenthe,1643,1
Drenthe,1645,2
Drenthe,1649,1
Drenthe,1650,7
Drenthe,1651,1
Drenthe,1652,1
Drenthe,1653,2
Drenthe,1654,3
Drenthe,1655,1
Drenthe,1662,1
Drenthe,1664,1
Drenthe,1666,1
Drenthe,1668,1
Drenthe,1669,1
Drenthe,1672,2
Drenthe,1675,2
Drenthe,1676,1
Drenthe,1680,2
Drenthe,1690,2
Drenthe,1691,1
Drenthe,1692,1
Drenthe,1695,1
Drenthe,1697,2
Drenthe,1698,1
Drenthe,1699,2
Drenthe,1700,19
Drenthe,1703,2
Drenthe,1705,1
Drenthe,1706,1
Drenthe,1707,1
Drenthe,1709,2
Drenthe,1710,1
Drenthe,1711,3
Drenthe,1712,1
Drenthe,1713,1
Drenthe,1715,1
Drenthe,1717,3
Drenthe,1720,4
Drenthe,1721,4
Drenthe,1722,4
Drenthe,1723,1
Drenthe,1724,1
Drenthe,1725,1
Drenthe,1728,1
Drenthe,1729,2
Drenthe,1730,2
Drenthe,1731,2
Drenthe,1732,4
Drenthe,1735,2
Drenthe,1736,4
Drenthe,1738,3
Drenthe,1739,1
Drenthe,1740,2
Drenthe,1742,2
Drenthe,1743,6
Drenthe,1744,2
Drenthe,1745,4
Drenthe,1746,2
Drenthe,1747,1
Drenthe,1750,41
Drenthe,1751,1
Drenthe,1754,3
Drenthe,1755,1
Drenthe,1756,1
Drenthe,1758,1
Drenthe,1759,4
Drenthe,1760,4
Drenthe,1762,2
Drenthe,1764,2
Drenthe,1765,16
Drenthe,1766,1
Drenthe,1767,1
Drenthe,1768,7
Drenthe,1769,2
Drenthe,1770,4
Drenthe,1772,1
Drenthe,1773,1
Drenthe,1774,1
Drenthe,1775,5
Drenthe,1776,1
Drenthe,1777,4
Drenthe,1778,4
Drenthe,1779,4
Drenthe,1780,7
Drenthe,1782,7
Drenthe,1783,2
Drenthe,1784,2
Drenthe,1786,3
Drenthe,1787,1
Drenthe,1788,1
Drenthe,1789,3
Drenthe,1790,10
Drenthe,1791,6
Drenthe,1792,2
Drenthe,1793,1
Drenthe,1794,2
Drenthe,1795,2
Drenthe,1796,2
Drenthe,1798,7
Drenthe,1799,5
Drenthe,1800,161
Drenthe,1801,3
Drenthe,1802,2
Drenthe,1803,4
Drenthe,1804,5
Drenthe,1805,5
Drenthe,1806,1
Drenthe,1807,7
Drenthe,1808,1
Drenthe,1810,12
Drenthe,1812,7
Drenthe,1813,2
Drenthe,1814,4
Drenthe,1815,3
Drenthe,1816,5
Drenthe,1817,4
Drenthe,1818,9
Drenthe,1819,7
Drenthe,1820,13
Drenthe,1821,6
Drenthe,1822,3
Drenthe,1823,5
Drenthe,1824,5
Drenthe,1825,32
Drenthe,1826,7
Drenthe,1828,6
Drenthe,1829,2
Drenthe,1830,32
Drenthe,1831,3
Drenthe,1832,19
Drenthe,1833,5
Drenthe,1834,10
Drenthe,1835,8
Drenthe,1836,5
Drenthe,1837,4
Drenthe,1838,3
Drenthe,1839,10
Drenthe,1840,57
Drenthe,1841,12
Drenthe,1842,11
Drenthe,1843,13
Drenthe,1844,9
Drenthe,1845,20
Drenthe,1846,17
Drenthe,1847,11
Drenthe,1848,10
Drenthe,1849,8
Drenthe,1850,291
Drenthe,1851,10
Drenthe,1852,8
Drenthe,1853,13
Drenthe,1854,11
Drenthe,1855,10
Drenthe,1856,11
Drenthe,1857,15
Drenthe,1858,8
Drenthe,1859,9
Drenthe,1860,101
Drenthe,1861,18
Drenthe,1862,12
Drenthe,1863,18
Drenthe,1864,13
Drenthe,1865,31
Drenthe,1866,12
Drenthe,1867,26
Drenthe,1868,25
Drenthe,1869,21
Drenthe,1870,164
Drenthe,1871,21
Drenthe,1872,28
Drenthe,1873,18
Drenthe,1874,27
Drenthe,1875,94
Drenthe,1876,23
Drenthe,1877,32
Drenthe,1878,29
Drenthe,1879,20
Drenthe,1880,205
Drenthe,1881,29
Drenthe,1882,24
Drenthe,1883,22
Drenthe,1884,31
Drenthe,1885,85
Drenthe,1886,44
Drenthe,1887,42
Drenthe,1888,35
Drenthe,1889,32
Drenthe,1890,368
Drenthe,1891,33
Drenthe,1892,43
Drenthe,1893,40
Drenthe,1894,46
Drenthe,1895,147
Drenthe,1896,51
Drenthe,1897,55
Drenthe,1898,84
Drenthe,1899,96
Drenthe,1900,1483
Drenthe,1901,187
Drenthe,1902,114
Drenthe,1903,128
Drenthe,1904,110
Drenthe,1905,1332
Drenthe,1906,432
Drenthe,1907,151
Drenthe,1908,189
Drenthe,1909,176
Drenthe,1910,1506
Drenthe,1911,211
Drenthe,1912,200
Drenthe,1913,175
Drenthe,1914,266
Drenthe,1915,687
Drenthe,1916,221
Drenthe,1917,172
Drenthe,1918,209
Drenthe,1919,580
Drenthe,1920,2514
Drenthe,1921,224
Drenthe,1922,240
Drenthe,1923,255
Drenthe,1924,364
Drenthe,1925,1178
Drenthe,1926,606
Drenthe,1927,414
Drenthe,1928,534
Drenthe,1929,267
Drenthe,1930,2764
Drenthe,1931,822
Drenthe,1932,578
Drenthe,1933,506
Drenthe,1934,501
Drenthe,1935,1846
Drenthe,1936,1559
Drenthe,1937,723
Drenthe,1938,1301
Drenthe,1939,791
Drenthe,1940,844
Drenthe,1941,349
Drenthe,1942,117
Drenthe,1943,65
Drenthe,1944,62
Drenthe,1945,212
Drenthe,1946,409
Drenthe,1947,426
Drenthe,1948,1277
Drenthe,1949,1427
Drenthe,1950,2816
Drenthe,1951,1598
Drenthe,1952,1029
Drenthe,1953,1790
Drenthe,1954,1290
Drenthe,1955,1750
Drenthe,1956,1871
Drenthe,1957,1747
Drenthe,1958,2046
Drenthe,1959,1553
Drenthe,1960,3501
Drenthe,1961,1772
Drenthe,1962,2688
Drenthe,1963,2997
Drenthe,1964,3515
Drenthe,1965,4851
Drenthe,1966,3788
Drenthe,1967,3706
Drenthe,1968,4607
Drenthe,1969,3500
Drenthe,1970,5687
Drenthe,1971,4258
Drenthe,1972,5300
Drenthe,1973,5493
Drenthe,1974,5781
Drenthe,1975,5152
Drenthe,1976,3238
Drenthe,1977,2771
Drenthe,1978,3346
Drenthe,1979,2514
Drenthe,1980,4408
Drenthe,1981,2323
Drenthe,1982,2949
Drenthe,1983,2841
Drenthe,1984,2192
Drenthe,1985,2940
Drenthe,1986,2940
Drenthe,1987,2797
Drenthe,1988,3199
Drenthe,1989,3303
Drenthe,1990,3447
Drenthe,1991,2478
Drenthe,1992,2526
Drenthe,1993,2816
Drenthe,1994,3519
Drenthe,1995,3150
Drenthe,1996,2939
Drenthe,1997,3038
Drenthe,1998,2936
Drenthe,1999,2486
Drenthe,2000,2577
Drenthe,2001,2155
Drenthe,2002,2352
Drenthe,2003,1932
Drenthe,2004,2005
Drenthe,2005,2098
Drenthe,2006,2609
Drenthe,2007,2391
Drenthe,2008,2162
Drenthe,2009,1571
Drenthe,2010,1098
Drenthe,2011,1977
Drenthe,2012,1303
Drenthe,2013,867
Drenthe,2014,639
Drenthe,2015,948
Drenthe,2016,1079
Drenthe,2017,1185
Drenthe,2018,1322
Drenthe,2019,1583
Drenthe,2020,1765
Drenthe,2021,1730
Drenthe,2022,2026
Drenthe,2023,1966
Drenthe,2024,2320
Drenthe,2025,2226
Drenthe,2026,21
Drenthe,9999,4
Flevoland,1736,1
Flevoland,1786,1
Flevoland,1800,1
Flevoland,1812,1
Flevoland,1820,2
Flevoland,1826,1
Flevoland,1840,3
Flevoland,1844,1
Flevoland,1850,5
